surface	path	source_ref	live_state	line_count_or_size	bucket	decision_note
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/03_忘却論｜Oblivion/calculations/計算_2D完全解_忘却場.md	refs/stash	present-untracked-or-ignored	7148 bytes	nested-or-root-reconcile	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/03_忘却論｜Oblivion/calculations/計算_CPS-YM関手構成.md	refs/stash	present-untracked-or-ignored	19945 bytes	nested-or-root-reconcile	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/03_忘却論｜Oblivion/calculations/計算_CW導出_UΘ.md	refs/stash	present-untracked-or-ignored	8343 bytes	nested-or-root-reconcile	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/03_忘却論｜Oblivion/calculations/計算_αc界面の直接生成.md	refs/stash	present-untracked-or-ignored	8518 bytes	nested-or-root-reconcile	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/03_忘却論｜Oblivion/calculations/計算_αΘ結合系2D解.md	refs/stash	present-untracked-or-ignored	7059 bytes	nested-or-root-reconcile	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/03_忘却論｜Oblivion/calculations/計算_カテゴリカル分布上のΘ.md	refs/stash	present-untracked-or-ignored	20352 bytes	nested-or-root-reconcile	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/03_忘却論｜Oblivion/calculations/計算_三未踏踏破.md	refs/stash	present-untracked-or-ignored	9574 bytes	nested-or-root-reconcile	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/03_忘却論｜Oblivion/calculations/計算_化学的同型_忘却の元素論.md	refs/stash	present-untracked-or-ignored	15013 bytes	nested-or-root-reconcile	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/03_忘却論｜Oblivion/calculations/計算_収束改善.md	refs/stash	present-untracked-or-ignored	9510 bytes	nested-or-root-reconcile	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/03_忘却論｜Oblivion/calculations/計算_界面の幅とエネルギー.md	refs/stash	present-untracked-or-ignored	8867 bytes	nested-or-root-reconcile	present in refs/stash but absent from current HEAD
